wcat,wdog
3.532644594088196754e-03,1.947260345332324505e-03
-2.460821904242038727e-02,-2.567599155008792877e-02
9.548932430334389210e-04,1.136992312967777252e-02
-2.250702865421772003e-02,1.035810681059956551e-03
3.923585638403892517e-02,-8.750417828559875488e-02
2.760974224656820297e-03,8.344905450940132141e-03
-1.987712830305099487e-02,-1.884347945451736450e-02
5.027183890342712402e-02,-1.696038246154785156e-02
1.182214706204831600e-03,2.296971157193183899e-02
-1.090446487069129944e-02,2.124040015041828156e-02
-2.564276941120624542e-02,-1.794298738241195679e-02
3.208373859524726868e-02,2.237819693982601166e-02
9.661741554737091064e-03,5.804196000099182129e-03
4.363941843621432781e-04,-4.114389885216951370e-03
-4.763038083910942078e-02,3.137992694973945618e-02
-2.752184122800827026e-02,1.775931380689144135e-02
-1.355333020910620689e-03,1.740086241625249386e-03
-5.282221361994743347e-03,-4.379418212920427322e-03
-4.041764885187149048e-03,1.360280159860849380e-02
1.343917846679687500e-02,-3.398878127336502075e-02
-8.057434111833572388e-03,-7.443892303854227066e-03
2.391127869486808777e-03,3.798975376412272453e-03
-7.163550239056348801e-03,2.122509852051734924e-02
3.152302652597427368e-02,2.153157442808151245e-02
1.202226430177688599e-02,-8.219376206398010254e-03
-3.056659922003746033e-02,4.070332646369934082e-02
-1.104875933378934860e-02,-1.377239450812339783e-02
-5.885990336537361145e-03,-2.946225227788090706e-03
5.277217552065849304e-02,-3.931287676095962524e-02
7.346873730421066284e-02,-2.982493303716182709e-02
-6.677838508039712906e-03,-8.520408533513545990e-03
-1.641487143933773041e-02,1.369410473853349686e-02
-3.537293523550033569e-02,9.087757207453250885e-03
2.583930036053061485e-03,-3.116760402917861938e-03
2.942844480276107788e-02,-2.677944675087928772e-02
-7.093223929405212402e-02,3.218079730868339539e-02
-4.734284244477748871e-03,-3.212999086827039719e-03
-1.847214763984084129e-03,1.646840013563632965e-02
-1.583522185683250427e-03,7.691524922847747803e-03
-1.032263319939374924e-02,-2.702010981738567352e-02
-2.831038087606430054e-02,3.922451753169298172e-03
-4.973335657268762589e-03,-2.090488001704216003e-02
3.330149501562118530e-02,-5.597229301929473877e-02
4.668106883764266968e-02,-5.548956617712974548e-02
6.472498923540115356e-02,-6.411313265562057495e-02
1.720361970365047455e-02,2.467464655637741089e-02
2.383875288069248199e-02,2.626086026430130005e-02
-2.029832080006599426e-02,-1.953705213963985443e-02
5.475967749953269958e-02,-1.087825372815132141e-02
9.512388147413730621e-03,-1.094611827284097672e-02
-1.071246340870857239e-02,-2.755097858607769012e-02
6.431882269680500031e-03,-3.359256684780120850e-02
-1.846395991742610931e-02,-7.182700093835592270e-03
4.350192379206418991e-03,1.521957013756036758e-02
-4.181187599897384644e-02,4.487312585115432739e-02
2.920620143413543701e-02,-2.697806805372238159e-02
1.620295271277427673e-02,-1.007669232785701752e-02
-2.283134311437606812e-02,-4.412979353219270706e-03
2.363304840400815010e-03,3.989216405898332596e-03
-1.675995066761970520e-02,5.824454873800277710e-02
-1.860983087681233883e-03,-1.873267069458961487e-02
-1.223707571625709534e-02,-5.566979758441448212e-03
8.153255283832550049e-02,-7.517087459564208984e-02
1.231612358242273331e-02,1.148277986794710159e-02
-2.893252670764923096e-02,-2.388583868741989136e-02
-1.828008145093917847e-02,-2.557537332177162170e-02
-4.890039935708045959e-02,4.336833208799362183e-02
-1.885759644210338593e-02,-1.468940079212188721e-02
-1.132230740040540695e-02,-1.185547746717929840e-02
-3.894367069005966187e-02,3.238756442442536354e-03
1.511905435472726822e-02,1.361544523388147354e-02
-2.031298354268074036e-02,-2.444291487336158752e-02
-9.513907134532928467e-03,6.362233543768525124e-04
2.622208558022975922e-02,2.438113652169704437e-02
-6.585211027413606644e-03,6.368503905832767487e-03
7.125713862478733063e-03,1.137270685285329819e-02
1.192354131489992142e-02,4.448427353054285049e-03
-1.650770939886569977e-02,-8.921376429498195648e-03
1.475029811263084412e-02,-6.174232065677642822e-02
-1.480269618332386017e-02,8.860428351908922195e-04
4.066791757941246033e-02,-7.314138114452362061e-02
-9.286666288971900940e-03,-1.471707504242658615e-02
7.688982412219047546e-03,2.694025449454784393e-02
-1.138680335134267807e-02,-9.987078607082366943e-03
1.515723881311714649e-03,8.143199607729911804e-03
-5.107997450977563858e-03,-1.252175122499465942e-02
-2.350532449781894684e-02,1.830549724400043488e-02
2.629863843321800232e-02,2.645816840231418610e-02
2.618715539574623108e-02,-3.313682042062282562e-03
-7.016064599156379700e-03,-5.982486065477132797e-03
2.497028186917304993e-02,2.562740817666053772e-02
5.759081337600946426e-03,-8.066358976066112518e-03
-2.374960295855998993e-02,3.508394584059715271e-03
-1.279311347752809525e-02,-1.207479462027549744e-02
1.703626476228237152e-02,-9.273644536733627319e-03
-1.049546990543603897e-02,-2.203595079481601715e-02
-1.028910651803016663e-02,2.166048809885978699e-02
-3.643446788191795349e-02,1.016740128397941589e-02
